#  Year, Temperature, Anomaly
# Units: Degrees Fahrenheit
# Base Period: 2000-2025
Year,Temperature,Anomaly
200007,53.9,-0.4
200107,52.7,-1.6
200207,55.5,1.2
200307,50.7,-3.6
200407,53.4,-0.9
200507,52.9,-1.4
200607,55.4,1.1
200707,53.3,-1
200807,54.3,0
200907,52.6,-1.7
201007,55.6,1.3
201107,55,0.7
201207,57.3,3
201307,53.5,-0.8
201407,51.2,-3.1
201507,51.9,-2.4
201607,54.1,-0.2
201707,56.2,1.9
201807,53.7,-0.6
201907,54.9,0.6
202007,55.9,1.6
202107,54.7,0.4
202207,54.4,0.1
202307,56.4,2.1
202407,57.1,2.8
202507,55.4,1.1
