#  Howard County, Maryland February-January Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 2000-2025
Date,Value,Anomaly
200001,44,-1
200101,43.2,-1.8
200201,44.3,-0.7
200301,44.2,-0.8
200401,43.7,-1.3
200501,45.4,0.4
200601,44.9,-0.1
200701,45.4,0.4
200801,44.5,-0.5
200901,43.7,-1.3
201001,44.4,-0.6
201101,45.2,0.2
201201,46.3,1.3
201301,46.6,1.6
201401,43.4,-1.6
201501,43,-2
201601,44.5,-0.5
201701,46.2,1.2
201801,45,0
201901,45.9,0.9
202001,46.1,1.1
202101,46.4,1.4
202201,45.7,0.7
202301,45.5,0.5
202401,45.7,0.7
202501,46.1,1.1
